Saul;1;63;7
Mel;2;117;5
Preston;3;100;10
Evan;4;28;2
Alison;5;93;4
Nikia;6;110;7
Micheal;7;10;10
Brittany;8;83;8
Ward;9;17;2
Elmo;10;105;5
Bertram;11;88;6
Cristin;12;86;7
Monroe;13;49;2
Aundrea;14;42;3
Ayanna;15;60;10
Lucio;16;102;1
Armando;17;105;3
Audrie;18;42;5
Mirtha;19;45;7
Voncile;20;28;0
Chae;21;13;0
Halina;22;71;7
Alex;23;42;5
Adan;24;100;5
Natashia;25;92;9
Forrest;26;102;2
Taina;27;96;9
Simon;28;75;10
Kory;29;82;8
Tinisha;30;89;9
Denny;31;116;2
Harriette;32;67;9
Conrad;33;114;2
Jeanie;34;72;4
Mose;35;79;4
Stefan;36;47;9
Wade;37;7;7
Andrew;38;77;2
Shameka;39;82;4
Kenna;40;87;3
